Qual seu nome completo?,Qual sua idade?,Voce trabalha?,Qual sua area de estudos?,Em qual dos seguintes itens voce possui mais dificuldade durante seu aprendizado?,Voce possui algum disturbio ou transtorno que afeta suas capacidades cognitivas?,Voce considera que seu emprego atual pode estar atrapalhando seus estudos?,Voce considera que suas redes sociais podem estar atrapalhando seus estudos?,Voce acredita que seus problemas pessoais?,Voce ainda possui interesse na sua area de estudo atual?
Aleatorio 84,58,1,Ciencias Exatas,Tempo,1,0,0,1,1
Aleatorio 44,18,0,Ciencias Naturais,Foco/atencao,1,0,1,0,0
Aleatorio 94,68,1,Ciencias Exatas,Tempo,1,0,0,1,0
Aleatorio 24,83,1,Tecnologia,Tempo,1,1,0,0,0
Aleatorio 33,18,1,Ciencias Exatas,Memorizacao,1,0,0,0,1
Aleatorio 51,28,1,Ciencias Exatas,Outra,1,1,1,0,1
Aleatorio 66,47,1,Ciencias Naturais,Tempo,0,0,1,1,1
Aleatorio 19,36,0,Ciencias Exatas,Foco/atencao,0,0,1,0,0
Aleatorio 31,52,1,Ciencias Exatas,Memorizacao,0,0,0,0,0
Aleatorio 88,38,1,Outra,Tempo,1,1,0,1,0
Aleatorio 19,31,1,Ciencias Naturais,Tempo,0,0,0,0,1
Aleatorio 58,62,0,Ciencias Exatas,Tempo,1,1,1,0,0
Aleatorio 58,18,0,Humanas,Outra,1,0,1,0,1
Aleatorio 23,17,1,Tecnologia,Memorizacao,1,1,1,0,1
Aleatorio 4,81,0,Ciencias Exatas,Capacidade cognitiva reduzida,1,1,0,0,1
Aleatorio 75,38,1,Outra,Interesse,1,1,1,1,0
Aleatorio 25,72,1,Ciencias Naturais,Foco/atencao,0,0,1,1,0
Aleatorio 18,26,1,Outra,Capacidade cognitiva reduzida,1,0,0,0,0
Aleatorio 12,52,1,Humanas,Tempo,1,1,0,1,0
Aleatorio 84,30,1,Ciencias Naturais,Tempo,0,1,1,1,0
Aleatorio 44,52,0,Ciencias Exatas,Foco/atencao,1,0,1,1,1
Aleatorio 19,60,0,Humanas,Capacidade cognitiva reduzida,0,0,1,1,0
Aleatorio 30,37,1,Ciencias Exatas,Interesse,1,0,1,0,0
Aleatorio 67,40,0,Ciencias Naturais,Tempo,1,1,1,0,0
Aleatorio 58,74,0,Ciencias Exatas,Tempo,1,1,1,0,1
Aleatorio 87,53,1,Outra,Foco/atencao,1,1,1,1,1
Aleatorio 80,53,0,Tecnologia,Capacidade cognitiva reduzida,1,0,1,0,0
Aleatorio 34,67,0,Humanas,Capacidade cognitiva reduzida,0,0,1,1,0
Aleatorio 5,83,0,Ciencias Exatas,Interesse,0,0,0,0,1
Aleatorio 94,49,0,Outra,Capacidade cognitiva reduzida,0,0,0,0,0
Aleatorio 15,83,1,Humanas,Outra,0,0,1,1,1
Aleatorio 77,35,1,Outra,Interesse,0,0,0,0,0
Aleatorio 15,57,1,Outra,Memorizacao,1,0,1,1,1
Aleatorio 48,31,0,Ciencias Exatas,Foco/atencao,1,0,0,0,0
Aleatorio 41,70,0,Humanas,Foco/atencao,1,1,0,1,1
Aleatorio 52,69,1,Ciencias Exatas,Interesse,0,0,1,0,0
Aleatorio 44,38,0,Tecnologia,Capacidade cognitiva reduzida,0,1,0,1,1
Aleatorio 62,54,0,Humanas,Capacidade cognitiva reduzida,0,1,1,1,0
Aleatorio 49,34,0,Ciencias Naturais,Capacidade cognitiva reduzida,0,1,1,0,0
Aleatorio 73,52,1,Humanas,Foco/atencao,1,1,1,1,0
Aleatorio 9,57,0,Humanas,Tempo,0,1,0,0,1
Aleatorio 74,27,1,Ciencias Naturais,Outra,0,0,0,0,1
Aleatorio 24,45,0,Outra,Foco/atencao,1,1,1,1,1
Aleatorio 83,84,1,Humanas,Tempo,1,1,0,0,1
Aleatorio 83,30,0,Tecnologia,Tempo,0,0,1,0,1
Aleatorio 98,32,1,Humanas,Outra,1,1,1,0,0
Aleatorio 58,24,0,Tecnologia,Interesse,1,0,0,0,1
Aleatorio 7,51,1,Outra,Interesse,1,0,0,0,0
Aleatorio 17,65,0,Ciencias Exatas,Tempo,1,1,0,0,0
Aleatorio 72,70,1,Outra,Tempo,0,1,0,0,0
Aleatorio 35,78,1,Ciencias Exatas,Foco/atencao,0,0,0,1,0
Aleatorio 42,46,0,Tecnologia,Foco/atencao,0,1,1,0,1
Aleatorio 68,54,0,Ciencias Naturais,Memorizacao,1,1,0,0,1
Aleatorio 76,83,1,Ciencias Exatas,Memorizacao,0,1,0,1,1
Aleatorio 43,68,1,Ciencias Exatas,Memorizacao,0,1,1,0,1
Aleatorio 92,32,1,Ciencias Naturais,Tempo,0,1,1,1,0
Aleatorio 84,46,1,Ciencias Naturais,Foco/atencao,0,1,1,1,1
Aleatorio 5,76,1,Ciencias Naturais,Memorizacao,0,0,0,1,1
Aleatorio 56,45,0,Outra,Interesse,1,0,1,1,1
Aleatorio 18,26,0,Tecnologia,Interesse,1,0,1,1,0
Aleatorio 21,84,0,Ciencias Naturais,Tempo,0,1,1,1,0
Aleatorio 87,83,0,Outra,Interesse,0,1,0,0,1
Aleatorio 72,75,0,Outra,Memorizacao,0,1,0,1,1
Aleatorio 1,31,1,Ciencias Naturais,Foco/atencao,1,1,0,1,1
Aleatorio 62,79,1,Humanas,Memorizacao,1,0,1,1,1
Aleatorio 44,80,0,Outra,Interesse,0,1,1,0,0
Aleatorio 48,74,0,Outra,Foco/atencao,0,1,0,0,1
Aleatorio 30,29,1,Outra,Tempo,1,0,1,0,1
Aleatorio 35,48,1,Ciencias Exatas,Tempo,0,1,1,1,1
Aleatorio 85,42,1,Tecnologia,Capacidade cognitiva reduzida,0,1,1,1,1
Aleatorio 9,15,1,Ciencias Naturais,Memorizacao,0,0,1,1,1
